               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039852,            0.044808,            0.037918,             0.28166,             0.49545,             0.34189,             0.21474,            0.029745,            0.024335,            0.034059,            0.007624,            0.007624,            0.007624
                  38,             0.03973,            0.036699,            0.039604,              0.3369,             0.44175,             0.34784,             0.21405,            0.030034,            0.024642,             0.03309,            0.007558,            0.007558,            0.007558
                  39,            0.037423,            0.034237,            0.037048,             0.37002,             0.39649,             0.41418,             0.26585,            0.030501,            0.027409,             0.03214,            0.007492,            0.007492,            0.007492
                  40,             0.04027,            0.035491,            0.040414,             0.35083,             0.46284,             0.43242,             0.27256,            0.031035,            0.029782,            0.031803,            0.007426,            0.007426,            0.007426
                  41,            0.040005,            0.034633,            0.040819,             0.46706,              0.4256,             0.46608,             0.30185,            0.031079,            0.030849,            0.031706,             0.00736,             0.00736,             0.00736
                  42,             0.03832,            0.033437,            0.034243,             0.43313,             0.43425,             0.47807,             0.32603,            0.030572,            0.030253,            0.030984,            0.007294,            0.007294,            0.007294
                  43,            0.042792,             0.03745,            0.033246,             0.76202,             0.37476,             0.51053,             0.33404,            0.028926,            0.027663,            0.029856,            0.007228,            0.007228,            0.007228
                  44,            0.037285,            0.034796,            0.031951,             0.72342,              0.4043,             0.53251,             0.31926,            0.028449,            0.025848,            0.029556,            0.007162,            0.007162,            0.007162
                  45,            0.041734,            0.034012,            0.033817,              0.6242,             0.46237,              0.5276,             0.31757,            0.030114,            0.025356,            0.028917,            0.007096,            0.007096,            0.007096
                  46,            0.038011,            0.033144,            0.032456,             0.35697,             0.50533,             0.51536,             0.31608,            0.029192,            0.026016,            0.028029,             0.00703,             0.00703,             0.00703
                  47,            0.037566,            0.036402,            0.031006,             0.61611,             0.50527,             0.54908,             0.34149,             0.02988,            0.025516,            0.026871,            0.006964,            0.006964,            0.006964
                  48,            0.037362,            0.034242,             0.03148,             0.49239,             0.51514,             0.53361,             0.34249,            0.028592,            0.025807,            0.026095,            0.006898,            0.006898,            0.006898
                  49,            0.035773,            0.034603,            0.030632,             0.65435,             0.43273,             0.52566,              0.3437,            0.028662,            0.026325,            0.025423,            0.006832,            0.006832,            0.006832
                  50,            0.036791,            0.036914,            0.030486,             0.63719,             0.44787,             0.52883,             0.35722,            0.026633,             0.02776,            0.024912,            0.006766,            0.006766,            0.006766
                  51,            0.036195,            0.036682,             0.02873,             0.66398,              0.4433,             0.55714,             0.36646,            0.028646,            0.027354,            0.024523,              0.0067,              0.0067,              0.0067
                  52,            0.036173,            0.037503,            0.026707,             0.72008,             0.45464,             0.55658,             0.35257,            0.028995,            0.026845,            0.024228,            0.006634,            0.006634,            0.006634
                  53,            0.037041,            0.035587,            0.027149,              0.7712,               0.477,             0.54443,             0.37378,            0.027423,            0.027118,            0.023755,            0.006568,            0.006568,            0.006568
                  54,            0.034035,            0.032393,            0.025723,             0.72695,              0.5132,             0.56917,             0.38436,            0.028457,            0.026664,            0.023215,            0.006502,            0.006502,            0.006502
                  55,            0.033888,            0.035787,            0.025781,             0.71569,             0.46881,             0.53743,             0.35492,            0.029126,            0.027524,            0.022586,            0.006436,            0.006436,            0.006436
                  56,            0.032873,            0.032455,            0.029045,             0.65701,             0.45474,             0.53026,             0.34873,            0.030104,             0.02816,            0.021898,             0.00637,             0.00637,             0.00637
                  57,            0.035972,            0.037926,            0.023451,             0.79148,             0.43604,             0.54865,             0.34339,            0.028039,            0.029662,            0.021878,            0.006304,            0.006304,            0.006304
                  58,            0.033141,            0.032967,            0.026478,             0.42137,             0.58117,             0.57266,             0.37917,            0.026679,            0.029637,            0.021581,            0.006238,            0.006238,            0.006238
                  59,             0.03152,            0.035358,            0.025743,             0.39049,             0.60661,             0.56452,              0.3492,            0.029895,            0.030087,             0.02758,            0.006172,            0.006172,            0.006172
                  60,            0.034741,            0.033556,            0.023192,             0.57791,             0.56833,             0.56921,             0.37503,            0.029614,            0.030696,             0.03227,            0.006106,            0.006106,            0.006106
                  61,            0.034071,             0.03251,            0.022922,             0.55081,             0.57959,             0.57444,             0.37052,            0.029315,            0.031345,            0.027467,             0.00604,             0.00604,             0.00604
                  62,            0.032824,            0.030776,            0.024065,              0.5254,             0.58913,             0.55937,             0.31973,            0.030181,            0.031167,            0.021416,            0.005974,            0.005974,            0.005974
                  63,            0.033237,            0.033921,            0.020942,             0.62518,              0.5855,             0.54606,             0.32978,            0.029622,            0.027675,            0.018745,            0.005908,            0.005908,            0.005908
                  64,            0.034053,            0.033196,            0.019933,             0.61149,             0.58274,             0.57105,              0.3667,            0.028416,            0.026075,            0.017692,            0.005842,            0.005842,            0.005842
                  65,            0.032971,            0.035335,            0.023179,             0.61324,             0.58345,             0.58156,             0.38861,            0.026958,            0.025317,            0.017271,            0.005776,            0.005776,            0.005776
                  66,            0.032614,            0.030262,            0.020201,             0.64389,             0.55737,             0.57261,             0.38352,            0.026793,            0.023894,            0.016961,             0.00571,             0.00571,             0.00571
                  67,            0.032818,            0.032589,            0.020264,             0.66712,             0.51147,             0.57883,             0.41013,             0.02574,            0.023845,            0.016702,            0.005644,            0.005644,            0.005644
                  68,            0.031233,            0.032774,            0.020715,             0.64967,             0.56409,             0.58194,             0.36207,            0.027417,            0.023194,            0.016484,            0.005578,            0.005578,            0.005578
                  69,            0.031014,            0.029852,            0.023157,             0.69527,              0.6072,             0.63938,             0.42336,            0.029772,            0.022994,            0.016095,            0.005512,            0.005512,            0.005512
                  70,            0.032914,            0.034076,            0.018802,              0.6914,             0.64464,             0.63039,             0.43262,            0.027354,            0.022611,            0.015445,            0.005446,            0.005446,            0.005446
                  71,            0.032168,            0.031717,             0.01853,             0.69914,             0.61442,             0.64988,             0.44128,            0.027175,            0.022679,            0.014698,             0.00538,             0.00538,             0.00538
                  72,            0.033172,            0.033356,            0.016823,             0.72664,             0.60948,             0.67596,             0.47094,            0.026772,             0.02332,            0.014328,            0.005314,            0.005314,            0.005314
                  73,            0.032352,            0.035071,            0.015261,              0.7339,             0.60252,             0.67412,             0.46918,            0.026131,            0.023239,            0.013996,            0.005248,            0.005248,            0.005248
                  74,            0.032018,            0.034795,            0.017094,             0.71298,             0.55749,             0.64416,             0.41505,            0.027788,            0.024765,            0.013919,            0.005182,            0.005182,            0.005182
                  75,            0.029921,            0.032299,            0.017566,              0.6712,             0.65293,             0.67258,              0.4413,            0.026081,            0.024938,            0.013735,            0.005116,            0.005116,            0.005116
                  76,            0.030666,            0.036369,            0.017234,             0.69438,             0.65533,             0.67326,             0.43637,             0.02723,            0.024618,            0.013952,             0.00505,             0.00505,             0.00505
                  77,            0.031411,              0.0322,            0.016225,             0.70376,             0.62813,             0.67655,             0.45851,            0.027087,            0.024443,            0.013938,            0.004984,            0.004984,            0.004984
                  78,            0.030663,            0.033265,            0.016045,             0.70937,              0.6716,             0.69275,             0.44479,            0.026773,            0.024914,             0.01385,            0.004918,            0.004918,            0.004918
                  79,            0.033522,            0.034986,            0.013842,             0.63955,              0.6475,              0.6917,             0.46662,            0.027222,            0.025532,            0.013643,            0.004852,            0.004852,            0.004852
                  80,            0.032571,            0.033676,            0.015778,             0.58439,             0.68657,               0.702,             0.47454,            0.028171,            0.026667,            0.013516,            0.004786,            0.004786,            0.004786
                  81,            0.030125,            0.028791,            0.017383,             0.60123,             0.65306,              0.6904,             0.47894,            0.027142,            0.027319,             0.01353,             0.00472,             0.00472,             0.00472
                  82,            0.028411,            0.029299,            0.015913,             0.56275,             0.68307,             0.68907,             0.48313,            0.025167,            0.026953,            0.013145,            0.004654,            0.004654,            0.004654
                  83,            0.030345,            0.032083,            0.014483,             0.59888,             0.67557,             0.68798,             0.49755,            0.025455,            0.026095,            0.013101,            0.004588,            0.004588,            0.004588
                  84,            0.030557,            0.031719,            0.017336,             0.62538,             0.63564,             0.69199,             0.50098,            0.027627,            0.023959,             0.01254,            0.004522,            0.004522,            0.004522
                  85,            0.029565,            0.029657,            0.014163,             0.64314,             0.68505,             0.70639,             0.48085,            0.027915,            0.023123,             0.01248,            0.004456,            0.004456,            0.004456
                  86,            0.029747,             0.03302,            0.014991,             0.71903,             0.68371,             0.70579,             0.51049,            0.026192,            0.022154,            0.012302,             0.00439,             0.00439,             0.00439
                  87,            0.028384,            0.030925,            0.015164,             0.69591,              0.6792,             0.70145,             0.50286,            0.024793,            0.022089,            0.012487,            0.004324,            0.004324,            0.004324
                  88,            0.028452,            0.031758,            0.014542,             0.71749,             0.67451,             0.70198,             0.50712,            0.024918,             0.02207,            0.012771,            0.004258,            0.004258,            0.004258
                  89,             0.03044,            0.033924,            0.012528,             0.68206,             0.63909,             0.69415,             0.50084,            0.025248,            0.022433,            0.012972,            0.004192,            0.004192,            0.004192
                  90,            0.027502,            0.029443,            0.013017,             0.52626,             0.73918,             0.69209,              0.4966,            0.026028,            0.022796,            0.012854,            0.004126,            0.004126,            0.004126
                  91,             0.02811,            0.028736,            0.013296,              0.7161,             0.64637,             0.71597,             0.49448,            0.026598,            0.022845,            0.012714,             0.00406,             0.00406,             0.00406
                  92,            0.028037,            0.030403,            0.013368,             0.64748,             0.69596,             0.73788,             0.51414,            0.027444,            0.022549,            0.012419,            0.003994,            0.003994,            0.003994
                  93,            0.027428,            0.029437,            0.012597,             0.64899,             0.73955,             0.74997,             0.51939,            0.026396,            0.021811,            0.012245,            0.003928,            0.003928,            0.003928
                  94,            0.030013,            0.031597,            0.012459,             0.70862,             0.70468,             0.74988,             0.53474,            0.026196,            0.021713,            0.012092,            0.003862,            0.003862,            0.003862
                  95,            0.027202,            0.032075,            0.012419,               0.776,             0.68298,             0.75316,             0.52744,            0.027189,            0.022623,             0.01196,            0.003796,            0.003796,            0.003796
                  96,            0.027634,            0.028487,            0.013444,             0.72152,             0.70488,              0.7433,             0.51546,             0.02625,            0.022504,            0.011944,             0.00373,             0.00373,             0.00373
                  97,            0.027484,            0.028299,            0.012973,             0.70233,             0.72268,             0.73607,             0.50964,            0.025377,            0.022667,            0.011862,            0.003664,            0.003664,            0.003664
                  98,             0.02895,            0.036123,            0.011379,             0.72001,             0.70635,             0.73366,             0.50976,            0.024596,            0.023203,            0.011823,            0.003598,            0.003598,            0.003598
                  99,            0.028977,            0.029394,            0.011662,             0.68975,             0.71008,             0.73806,             0.54116,            0.024332,            0.023278,            0.011628,            0.003532,            0.003532,            0.003532
